%Valores acciones BBVA
@relation BBVA
@attribute cierreAnterior Real
@attribute apertura Real
@attribute max Real
@attribute min Real
@attribute fluctuacion {'sube','baja'}
@data
0.0,0.0,0.0,0.0,alta
6.414,6.368,6.414,6.334,sube
6.375,6.331,6.395,6.326,alta
6.414,6.45,6.462,6.374,alta
6.444,6.42,6.459,6.4,alta
6.46,6.486,6.53,6.43,sube
6.444,6.423,6.487,6.407,alta
6.455,6.495,6.548,6.358,alta
6.515,6.45,6.557,6.434,sube
6.474,6.53,6.547,6.453,alta
6.552,6.52,6.605,6.464,sube
6.534,6.396,6.548,6.39,sube
6.37,6.438,6.493,6.37,alta
6.47,6.334,6.482,6.252,sube
6.369,6.4,6.465,6.352,alta
6.414,6.445,6.476,6.343,alta
6.478,6.22,6.58,6.193,sube
6.201,6.175,6.26,6.135,sube
6.122,5.87,6.149,5.839,sube
5.847,5.703,5.915,5.67,sube
5.788,5.8,5.849,5.751,alta
5.87,5.82,5.89,5.786,sube
5.826,5.77,5.86,5.746,sube
5.78,5.69,5.817,5.685,sube
5.726,5.75,5.777,5.685,alta
5.771,5.797,5.801,5.733,alta
5.822,5.805,5.867,5.782,alta
5.847,5.88,5.894,5.752,alta
5.875,5.9,5.926,5.854,sube
5.854,5.856,5.874,5.786,alta
5.859,6.07,6.076,5.859,alta
6.029,5.92,6.04,5.9,sube
5.969,6.043,6.105,5.91,alta
6.0,5.933,6.015,5.837,sube
5.931,5.965,6.03,5.815,sube
5.912,6.113,6.13,5.878,alta
6.05,6.18,6.283,5.98,alta
6.12,5.913,6.123,5.85,alta
6.49,6.44,6.529,6.391,sube
6.387,6.411,6.441,6.348,sube
6.196,6.224,6.243,6.125,alta
6.256,6.201,6.343,6.183,sube
6.181,6.347,6.35,6.181,alta
6.436,6.62,6.645,6.422,alta
6.578,6.5,6.6,6.49,alta
6.59,6.6,6.61,6.501,alta
6.61,6.48,6.61,6.409,sube
6.43,6.32,6.43,6.318,sube
6.302,6.377,6.384,6.263,alta
6.368,6.25,6.407,6.23,sube
6.17,6.203,6.25,6.111,alta
6.203,6.062,6.229,6.038,sube
6.012,5.929,6.019,5.852,sube
5.895,5.794,5.926,5.758,sube
5.723,5.683,5.78,5.666,sube
5.702,5.579,5.745,5.566,sube
5.542,5.602,5.602,5.47,alta
5.654,5.637,5.738,5.624,sube
5.628,5.458,5.644,5.422,sube
5.465,5.408,5.478,5.343,sube
5.428,5.485,5.524,5.359,alta
5.46,5.448,5.548,5.435,sube
5.419,5.26,5.435,5.25,sube
5.313,5.305,5.351,5.253,sube
5.288,5.284,5.349,5.241,alta
5.382,5.2,5.389,5.101,sube
5.351,5.4,5.432,5.334,sube
5.344,5.333,5.42,5.32,sube
5.297,5.4,5.4,5.237,alta
5.311,5.425,5.425,5.245,alta
5.486,5.477,5.506,5.41,alta
5.524,5.426,5.553,5.391,sube
5.373,5.37,5.418,5.317,sube
5.223,5.231,5.28,5.202,alta
5.262,5.309,5.317,5.25,sube
5.232,5.299,5.32,5.216,alta
5.328,5.393,5.44,5.281,alta
5.365,5.43,5.438,5.348,alta
5.425,5.573,5.608,5.425,alta
5.556,5.565,5.6,5.465,alta
5.695,5.74,5.842,5.694,alta
5.751,5.657,5.765,5.605,sube
5.657,5.629,5.68,5.546,sube
5.592,5.734,5.74,5.59,alta
5.696,5.69,5.735,5.64,sube
5.69,5.62,5.701,5.516,sube
5.598,5.578,5.734,5.564,sube
5.578,5.5,5.634,5.488,sube
5.52,5.42,5.53,5.412,sube
5.413,5.402,5.464,5.372,alta
5.429,5.34,5.444,5.328,sube
5.343,5.363,5.399,5.318,alta
5.405,5.259,5.409,5.22,sube
5.23,5.141,5.255,5.136,sube
5.132,5.094,5.183,5.079,sube
5.091,5.188,5.19,5.039,alta
5.199,5.23,5.24,5.129,sube
5.177,5.308,5.315,5.174,alta
5.269,5.265,5.312,5.229,alta
5.285,5.265,5.31,5.249,sube
5.27,5.29,5.335,5.266,alta
5.303,5.3,5.317,5.233,sube
5.275,5.181,5.298,5.167,sube
5.222,5.13,5.232,5.092,sube
5.123,5.122,5.197,5.11,sube
5.088,5.0,5.094,4.96,sube
4.958,4.877,5.02,4.874,sube
4.835,4.833,4.881,4.756,sube
4.785,5.001,5.004,4.761,alta
5.03,5.26,5.3,4.976,alta
5.225,5.215,5.289,5.12,sube
5.038,5.201,5.228,5.026,alta
5.224,5.142,5.278,5.141,sube
5.131,5.161,5.182,5.043,alta
5.175,5.244,5.277,5.144,alta
5.254,5.22,5.288,5.199,sube
5.248,5.203,5.304,5.159,sube
5.198,5.2,5.243,5.136,sube
5.147,5.174,5.265,5.103,alta
5.195,5.297,5.349,5.095,alta
5.345,5.336,5.438,5.237,alta
5.352,5.319,5.397,5.281,sube
5.236,5.235,5.41,5.141,alta
5.275,5.056,5.294,5.034,sube
5.057,5.05,5.085,4.917,sube
5.005,4.834,5.086,4.792,sube
4.854,4.85,4.92,4.802,sube
4.811,4.85,4.923,4.742,alta
4.98,5.05,5.106,4.963,alta
5.103,5.141,5.172,5.027,alta
5.121,5.123,5.185,4.981,sube
5.064,5.027,5.123,4.902,sube
5.017,4.957,5.027,4.93,sube
4.851,4.906,4.989,4.831,sube
4.763,5.14,5.15,4.667,alta
4.844,4.5,5.145,4.5,alta
5.779,5.647,5.798,5.573,sube
5.625,5.631,5.693,5.539,sube
